"CubeId";"snboffzisa"
"PublishingDate";"2026-02-23 09:00"

"Date";"D0";"Value"
"2005-11";"LZ";
"2005-11";"UG0";"0.25"
"2005-11";"OG0";"1.25"
"2005-12";"LZ";
"2005-12";"UG0";"0.5"
"2005-12";"OG0";"1.5"
"2006-01";"LZ";
"2006-01";"UG0";"0.5"
"2006-01";"OG0";"1.5"
"2006-02";"LZ";
"2006-02";"UG0";"0.5"
"2006-02";"OG0";"1.5"
"2006-03";"LZ";
"2006-03";"UG0";"0.75"
"2006-03";"OG0";"1.75"
"2006-04";"LZ";
"2006-04";"UG0";"0.75"
"2006-04";"OG0";"1.75"
"2006-05";"LZ";
"2006-05";"UG0";"0.75"
"2006-05";"OG0";"1.75"
"2006-06";"LZ";
"2006-06";"UG0";"1"
"2006-06";"OG0";"2"
"2006-07";"LZ";
"2006-07";"UG0";"1"
"2006-07";"OG0";"2"
"2006-08";"LZ";
"2006-08";"UG0";"1"
"2006-08";"OG0";"2"
"2006-09";"LZ";
"2006-09";"UG0";"1.25"
"2006-09";"OG0";"2.25"
"2006-10";"LZ";
"2006-10";"UG0";"1.25"
"2006-10";"OG0";"2.25"
"2006-11";"LZ";
"2006-11";"UG0";"1.25"
"2006-11";"OG0";"2.25"
"2006-12";"LZ";
"2006-12";"UG0";"1.5"
"2006-12";"OG0";"2.5"
"2007-01";"LZ";
"2007-01";"UG0";"1.5"
"2007-01";"OG0";"2.5"
"2007-02";"LZ";
"2007-02";"UG0";"1.5"
"2007-02";"OG0";"2.5"
"2007-03";"LZ";
"2007-03";"UG0";"1.75"
"2007-03";"OG0";"2.75"
"2007-04";"LZ";
"2007-04";"UG0";"1.75"
"2007-04";"OG0";"2.75"
"2007-05";"LZ";
"2007-05";"UG0";"1.75"
"2007-05";"OG0";"2.75"
"2007-06";"LZ";
"2007-06";"UG0";"2"
"2007-06";"OG0";"3"
"2007-07";"LZ";
"2007-07";"UG0";"2"
"2007-07";"OG0";"3"
"2007-08";"LZ";
"2007-08";"UG0";"2"
"2007-08";"OG0";"3"
"2007-09";"LZ";
"2007-09";"UG0";"2.25"
"2007-09";"OG0";"3.25"
"2007-10";"LZ";
"2007-10";"UG0";"2.25"
"2007-10";"OG0";"3.25"
"2007-11";"LZ";
"2007-11";"UG0";"2.25"
"2007-11";"OG0";"3.25"
"2007-12";"LZ";
"2007-12";"UG0";"2.25"
"2007-12";"OG0";"3.25"
"2008-01";"LZ";
"2008-01";"UG0";"2.25"
"2008-01";"OG0";"3.25"
"2008-02";"LZ";
"2008-02";"UG0";"2.25"
"2008-02";"OG0";"3.25"
"2008-03";"LZ";
"2008-03";"UG0";"2.25"
"2008-03";"OG0";"3.25"
"2008-04";"LZ";
"2008-04";"UG0";"2.25"
"2008-04";"OG0";"3.25"
"2008-05";"LZ";
"2008-05";"UG0";"2.25"
"2008-05";"OG0";"3.25"
"2008-06";"LZ";
"2008-06";"UG0";"2.25"
"2008-06";"OG0";"3.25"
"2008-07";"LZ";
"2008-07";"UG0";"2.25"
"2008-07";"OG0";"3.25"
"2008-08";"LZ";
"2008-08";"UG0";"2.25"
"2008-08";"OG0";"3.25"
"2008-09";"LZ";
"2008-09";"UG0";"2.25"
"2008-09";"OG0";"3.25"
"2008-10";"LZ";
"2008-10";"UG0";"2"
"2008-10";"OG0";"3"
"2008-11";"LZ";
"2008-11";"UG0";"0.5"
"2008-11";"OG0";"1.5"
"2008-12";"LZ";
"2008-12";"UG0";"0"
"2008-12";"OG0";"1"
"2009-01";"LZ";
"2009-01";"UG0";"0"
"2009-01";"OG0";"1"
"2009-02";"LZ";
"2009-02";"UG0";"0"
"2009-02";"OG0";"1"
"2009-03";"LZ";
"2009-03";"UG0";"0"
"2009-03";"OG0";"0.75"
"2009-04";"LZ";
"2009-04";"UG0";"0"
"2009-04";"OG0";"0.75"
"2009-05";"LZ";
"2009-05";"UG0";"0"
"2009-05";"OG0";"0.75"
"2009-06";"LZ";
"2009-06";"UG0";"0"
"2009-06";"OG0";"0.75"
"2009-07";"LZ";
"2009-07";"UG0";"0"
"2009-07";"OG0";"0.75"
"2009-08";"LZ";
"2009-08";"UG0";"0"
"2009-08";"OG0";"0.75"
"2009-09";"LZ";
"2009-09";"UG0";"0"
"2009-09";"OG0";"0.75"
"2009-10";"LZ";
"2009-10";"UG0";"0"
"2009-10";"OG0";"0.75"
"2009-11";"LZ";
"2009-11";"UG0";"0"
"2009-11";"OG0";"0.75"
"2009-12";"LZ";
"2009-12";"UG0";"0"
"2009-12";"OG0";"0.75"
"2010-01";"LZ";
"2010-01";"UG0";"0"
"2010-01";"OG0";"0.75"
"2010-02";"LZ";
"2010-02";"UG0";"0"
"2010-02";"OG0";"0.75"
"2010-03";"LZ";
"2010-03";"UG0";"0"
"2010-03";"OG0";"0.75"
"2010-04";"LZ";
"2010-04";"UG0";"0"
"2010-04";"OG0";"0.75"
"2010-05";"LZ";
"2010-05";"UG0";"0"
"2010-05";"OG0";"0.75"
"2010-06";"LZ";
"2010-06";"UG0";"0"
"2010-06";"OG0";"0.75"
"2010-07";"LZ";
"2010-07";"UG0";"0"
"2010-07";"OG0";"0.75"
"2010-08";"LZ";
"2010-08";"UG0";"0"
"2010-08";"OG0";"0.75"
"2010-09";"LZ";
"2010-09";"UG0";"0"
"2010-09";"OG0";"0.75"
"2010-10";"LZ";
"2010-10";"UG0";"0"
"2010-10";"OG0";"0.75"
"2010-11";"LZ";
"2010-11";"UG0";"0"
"2010-11";"OG0";"0.75"
"2010-12";"LZ";
"2010-12";"UG0";"0"
"2010-12";"OG0";"0.75"
"2011-01";"LZ";
"2011-01";"UG0";"0"
"2011-01";"OG0";"0.75"
"2011-02";"LZ";
"2011-02";"UG0";"0"
"2011-02";"OG0";"0.75"
"2011-03";"LZ";
"2011-03";"UG0";"0"
"2011-03";"OG0";"0.75"
"2011-04";"LZ";
"2011-04";"UG0";"0"
"2011-04";"OG0";"0.75"
"2011-05";"LZ";
"2011-05";"UG0";"0"
"2011-05";"OG0";"0.75"
"2011-06";"LZ";
"2011-06";"UG0";"0"
"2011-06";"OG0";"0.75"
"2011-07";"LZ";
"2011-07";"UG0";"0"
"2011-07";"OG0";"0.75"
"2011-08";"LZ";
"2011-08";"UG0";"0"
"2011-08";"OG0";"0.25"
"2011-09";"LZ";
"2011-09";"UG0";"0"
"2011-09";"OG0";"0.25"
"2011-10";"LZ";
"2011-10";"UG0";"0"
"2011-10";"OG0";"0.25"
"2011-11";"LZ";
"2011-11";"UG0";"0"
"2011-11";"OG0";"0.25"
"2011-12";"LZ";
"2011-12";"UG0";"0"
"2011-12";"OG0";"0.25"
"2012-01";"LZ";
"2012-01";"UG0";"0"
"2012-01";"OG0";"0.25"
"2012-02";"LZ";
"2012-02";"UG0";"0"
"2012-02";"OG0";"0.25"
"2012-03";"LZ";
"2012-03";"UG0";"0"
"2012-03";"OG0";"0.25"
"2012-04";"LZ";
"2012-04";"UG0";"0"
"2012-04";"OG0";"0.25"
"2012-05";"LZ";
"2012-05";"UG0";"0"
"2012-05";"OG0";"0.25"
"2012-06";"LZ";
"2012-06";"UG0";"0"
"2012-06";"OG0";"0.25"
"2012-07";"LZ";
"2012-07";"UG0";"0"
"2012-07";"OG0";"0.25"
"2012-08";"LZ";
"2012-08";"UG0";"0"
"2012-08";"OG0";"0.25"
"2012-09";"LZ";
"2012-09";"UG0";"0"
"2012-09";"OG0";"0.25"
"2012-10";"LZ";
"2012-10";"UG0";"0"
"2012-10";"OG0";"0.25"
"2012-11";"LZ";
"2012-11";"UG0";"0"
"2012-11";"OG0";"0.25"
"2012-12";"LZ";
"2012-12";"UG0";"0"
"2012-12";"OG0";"0.25"
"2013-01";"LZ";
"2013-01";"UG0";"0"
"2013-01";"OG0";"0.25"
"2013-02";"LZ";
"2013-02";"UG0";"0"
"2013-02";"OG0";"0.25"
"2013-03";"LZ";
"2013-03";"UG0";"0"
"2013-03";"OG0";"0.25"
"2013-04";"LZ";
"2013-04";"UG0";"0"
"2013-04";"OG0";"0.25"
"2013-05";"LZ";
"2013-05";"UG0";"0"
"2013-05";"OG0";"0.25"
"2013-06";"LZ";
"2013-06";"UG0";"0"
"2013-06";"OG0";"0.25"
"2013-07";"LZ";
"2013-07";"UG0";"0"
"2013-07";"OG0";"0.25"
"2013-08";"LZ";
"2013-08";"UG0";"0"
